ticker,company_name,industry_group,sector_detail,company_type
BCC,Công ty Cổ phần Xi măng Bỉm Sơn,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
KKC,Công ty Cổ phần Tập đoàn Thành Thái,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Bất động sản,Bất động sản,CT
LPT,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành,Hàng & Dịch vụ Công nghiệp,Đào tạo & Việc làm,CT
NDW,Công ty Cổ phần Cấp nước Nam Định,"Điện, nước & xăng dầu khí đốt",Nước,CT
CMI,Công ty Cổ phần CMISTONE Việt Nam,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
CKG,Công ty Cổ phần Tập đoàn CIC,Bất động sản,Bất động sản,CT
MTP,Công ty Cổ phần Dược Medipharco,Y tế,Dược phẩm,CT
CCA,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cần Thơ,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
PXT,Công ty Cổ phần Xây lắp Đường ống Bể chứa Dầu khí,Xây dựng và Vật liệu,Xây dựng,CT
AVC,Công ty Cổ phần Thủy điện A Vương,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
BAL,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
DHC,Công ty Cổ phần Đông Hải Bến Tre,Tài nguyên Cơ bản,Sản xuất giấy,CT
DNW,Công ty Cổ phần Cấp nước Đồng Nai,"Điện, nước & xăng dầu khí đốt",Nước,CT
DTL,Công ty Cổ phần Đại Thiên Lộc,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
DST,Công ty Cổ phần Đầu tư Sao Thăng Long,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT
CTA,Công ty Cổ phần Vinavico,Xây dựng và Vật liệu,Xây dựng,CT
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
SSH,Công ty Cổ phần Phát triển Sunshine Homes,Bất động sản,Bất động sản,CT
TTC,Công ty Cổ phần Gạch men Thanh Thanh,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
GEG,Công ty Cổ phần Điện Gia Lai,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
FHS,Công ty Cổ phần Phát hành sách Thành phố Hồ Chí Minh - FAHASA,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT
TNW,Công ty Cổ phần Nước sạch Thái Nguyên,"Điện, nước & xăng dầu khí đốt",Nước,CT
TV2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ KD,CT
V21,Công ty Cổ phần Vinaconex 21,Bất động sản,Bất động sản,CT
FRC,Công ty Cổ phần Lâm đặc sản xuất khẩu Quảng Nam,Tài nguyên Cơ bản,Lâm sản và Chế biến gỗ,CT
VC5,Công ty Cổ phần Xây dựng Số 5,Xây dựng và Vật liệu,Xây dựng,CT
HLO,Công Ty Cổ Phần Công Nghệ Ha Lô,Hàng & Dịch vụ Công nghiệp,Hàng điện & điện tử,CT
CNA,Công ty Cổ phần Tổng công ty Chè Nghệ An,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
DNL,Công ty Cổ phần Logistics Cảng Đà Nẵng,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,NH
HNI,Công ty Cổ phần May Hữu Nghị,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Xây dựng và Vật liệu,Xây dựng,CT
XDH,Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội,Bất động sản,Bất động sản,CT
VIE,Công ty Cổ phần Công nghệ Viễn thông VI TE CO,Công nghệ Thông tin,Thiết bị viễn thông,CT
CLX,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Thực phẩm và đồ uống,Thực phẩm,CT
KHG,Công ty Cổ phần Tập đoàn Khải Hoàn Land,Bất động sản,Bất động sản,CT
HPH,Công ty Cổ phần Hóa Chất Hưng Phát Hà Bắc,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
CAT,Công ty Cổ phần Thủy sản Cà Mau,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Bất động sản,Bất động sản,CT
PAC,Công ty Cổ phần Pin Ắc quy Miền Nam,Hàng & Dịch vụ Công nghiệp,Hàng điện & điện tử,CT
HPW,Công ty Cổ phần Cấp nước Hải Phòng,"Điện, nước & xăng dầu khí đốt",Nước,CT
HAC,Công ty Cổ phần Chứng khoán Hải Phòng,Dịch vụ tài chính,Môi giới chứng khoán,CK
LAI,Công ty Cổ phần Đầu tư Xây dựng Long An IDICO,Xây dựng và Vật liệu,Xây dựng,CT
MCM,Công ty Cổ phần Giống bò sữa Mộc Châu,Thực phẩm và đồ uống,Thực phẩm,CT
VTK,Công ty Cổ phần Tư vấn và Dịch vụ Viettel,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ KD,CT
VTV,Công ty Cổ phần Năng lượng và Môi trường VICEM,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Bán lẻ,Phân phối hàng chuyên dụng,CT
ND2,Công ty Cổ phần Đầu tư và Phát triển điện Miền Bắc 2,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
PJT,Công ty Cổ phần Vận tải Xăng dầu đường thủy Petrolimex,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
PPE,Công ty Cổ phần Tư vấn Đầu tư PP Enterprise,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ KD,CT
SKV,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,Thực phẩm và đồ uống,Đồ uống & giải khát,CT
