ticker,company_name,exchange,sector_detail,industry_group,year,quarter,absolute_quarter,current_market_cap,avg_volume_3m,current_shares_outstanding,quarter_market_cap,quarter_shares_outstanding,qmj_profitability,qmj_growth,qmj_safety,qmj_score,qmj_rank,z_value_historical,z_momentum_historical,value_raw_score,momentum_raw_score,value_recent_score,momentum_recent_score,z_value_recent,z_momentum_recent,gold_updated_at,gold_invocation_id
HGM,,,,,2023,3,8095,,,,590075640000.0000,11920720.0000,1.356,1.719,1.498,1.718,1,-1.433,-0.071,0.2830000000000000,-0.036000000000000000,,,,,2026-04-29T16:00:20.345000+0000,3aea6bfb-508d-4d34-ab46-6af012ebc059
IMP,Công ty Cổ phần Dược phẩm Imexpharm,HSX,Dược phẩm,Y tế,2023,3,8095,7446333312700.0,47998.0,154008962.0,4533666760000.0000,66671570.0000,1.247,1.453,1.721,1.699,2,-1.091,0.842,0.4350000000000000,0.108000000000000000,0.269,0.254000000000000000,-1.413,0.805,2026-04-29T16:00:20.345000+0000,3aea6bfb-508d-4d34-ab46-6af012ebc059
BMP,Công ty Cổ phần Nhựa Bình Minh,HSX,Vật liệu xây dựng & Nội thất,Xây dựng và Vật liệu,2023,3,8095,12033557886000.0,209398.0,81860938.0,7040040668000.0000,81860938.0000,1.6,1.529,1.276,1.68,3,-1.17,1.622,0.4120000000000000,0.551000000000000000,0.27,-0.066000000000000000,-1.401,-0.712,2026-04-29T16:00:20.345000+0000,3aea6bfb-508d-4d34-ab46-6af012ebc059
LBM,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,HSX,Vật liệu xây dựng & Nội thất,Xây dựng và Vật liệu,2023,3,8095,1485000000000.0,26230.0,50000000.0,994000000000.0000,20000000.0000,1.207,1.548,1.513,1.661,4,-0.67,1.325,0.5730000000000000,0.233000000000000000,0.419,0.092000000000000000,-1.008,0.372,2026-04-29T16:00:20.345000+0000,3aea6bfb-508d-4d34-ab46-6af012ebc059
CDN,Công ty Cổ phần Cảng Đà Nẵng,HNX,"Kho bãi, hậu cần và bảo dưỡng",Hàng & Dịch vụ Công nghiệp,2023,3,8095,2999700000000.0,13128.0,99000000.0,2623500000000.0000,99000000.0000,1.464,1.339,1.454,1.642,5,-0.473,0.247,0.6300000000000000,0.004000000000000000,0.692,-0.007000000000000000,-0.197,-0.268,2026-04-29T16:00:20.345000+0000,3aea6bfb-508d-4d34-ab46-6af012ebc059
NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,HSX,"Kho bãi, hậu cần và bảo dưỡng",Hàng & Dịch vụ Công nghiệp,2023,3,8095,2472661674000.0,15532.0,26165732.0,2313050708800.0000,26165732.0000,1.708,0.865,1.662,1.623,6,-1.591,0.124,0.2060000000000000,-0.006000000000000000,0.299,-0.121000000000000000,-1.294,-1.022,2026-04-29T16:00:20.345000+0000,3aea6bfb-508d-4d34-ab46-6af012ebc059
FPT,Công ty Cổ phần FPT,HSX,Phần mềm,Công nghệ Thông tin,2023,3,8095,125037422681400.0,12062310.0,1703507121.0,117853111600000.0000,1269968875.0000,1.573,1.624,1.024,1.604,7,-1.643,1.397,0.1920000000000000,0.255000000000000000,0.274,-0.336000000000000000,-1.389,-1.611,2026-04-29T16:00:20.345000+0000,3aea6bfb-508d-4d34-ab46-6af012ebc059
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,HSX,Phân phối hàng chuyên dụng,Bán lẻ,2023,3,8095,3136500000000.0,11972.0,45000000.0,2605500000000.0000,45000000.0000,1.41,1.662,1.142,1.585,8,-1.683,0.565,0.1610000000000000,0.059000000000000000,0.187,0.273000000000000000,-1.556,0.878,2026-04-29T16:00:20.345000+0000,3aea6bfb-508d-4d34-ab46-6af012ebc059
TLG,Công ty Cổ phần Tập đoàn Thiên Long,HSX,Đồ gia dụng một lần,Hàng cá nhân & Gia dụng,2023,3,8095,4836069834000.0,248232.0,96528340.0,4309812696200.0000,77794453.0000,1.586,1.206,1.395,1.566,9,-0.999,0.688,0.4670000000000000,0.070000000000000000,0.525,0.005000000000000000,-0.698,-0.206,2026-04-29T16:00:20.345000+0000,3aea6bfb-508d-4d34-ab46-6af012ebc059
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,HSX,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Hóa chất,2023,3,8095,20242189412900.0,5129023.0,379778413.0,35509281615500.0000,379778413.0000,1.437,1.7,0.949,1.547,10,-1.394,1.089,0.3020000000000000,0.153000000000000000,0.747,-0.400000000000000000,0.018,-1.641,2026-04-29T16:00:20.345000+0000,3aea6bfb-508d-4d34-ab46-6af012ebc059
